doc_id,chunk_id,is_macro,chunk_text
0,0,True,"""Индекс Мосбиржи -3%. Это самое большое дневное падение индекса с 7 октября. #шок_новости На фото - перфоманс акций индекса широкого рынка Мосбиржи за сегодня. """
2,0,True,"""С 5 февраля ЕС вводит эмбарго на российские поставки нефтепродуктов морем. Более того, европейские регуляторы обсуждают параметры потолка цен на нефтепродукты. Например, стоимость дизельного топлива хотят ограничить на уровне $100/барр. Россия — крупный экспортер дизельного топлива (15% мирового предложения), особенно для еврозоны, куда она направляла 80% поставок. Эти санкции могут быть более разрушительными, чем декабрьские ограничения на сырую нефть. Дело в том, что поставки сырой нефти удалось перенаправить в Индию и Китай. Но дизельное топливо туда не отправишь, потому что Индия и Китай сами являются крупными экспортерами этого сырья. Теперь придется искать новых покупателей, но кто ими может стать, непонятно. Госбюджет РФ рискует недополучить еще больше нефтегазовых доходов (в январе недополучит ок. 54,5 млрд руб.), из-за чего дефицит госбюджета может еще сильнее расшириться."
2,1,True,"Госбюджет РФ рискует недополучить еще больше нефтегазовых доходов (в январе недополучит ок. 54,5 млрд руб.), из-за чего дефицит госбюджета может еще сильнее расшириться. #макро #россия #сырье"""
4,2,False,"Катализатора для реализации нашей идеи нет, поэтому мы закрываем идею на покупку акций Газпрома и продажу сентябрьского фьючерса (GAZR-9.23). С момента открытия идеи (27 апреля) ее доходность составила -3,2%. Это немного лучше динамики акций Газпрома: за аналогичный период они снизились на 7%. Этого удалось достичь за счет хеджа в виде короткой позиции в сентябрьском фьючерсе. В долгосрочной перспективе мы сохраняем нейтральный взгляд на акции Газпрома. Мы не можем рекомендовать их к покупке из-за слабой отчетности, низкого спроса на газ в Европе и Азии, рисков дальнейшего увеличения капитальных расходов. Алдар Цыбиков, аналитик Тинькофф Инвестиций #россия"""
5,0,True,"""Окно закрывается. С начала СВО физлица вывели на свои зарубежные счета $43 млрд. #цифры Только за май по официальной статистике ЦБ россияне вывели из страны $1.8 млрд. Qiwi (QIWI) ограничил снятие наличных и вывод средств с qiwi-кошельков в другие банки по предписанию ЦБ:  """
6,1,False,"Пониженная прогнозная дивидендная доходность по бумагам ММК во многом связана с прошлогодней покупкой угольной шахты им. Тихова, которая могла обойтись компании в 22 млрд рублей. Если же сталевары вернутся к практике промежуточных дивидендов (как это было ранее), то в 2024 году дополнительно могут быть выплачены:  дивиденды Северстали в размере 99 руб./акцию (доходность 6%);  дивиденды ММК — 3,4 руб./акцию (6%);  дивиденды НЛМК — 17 руб./акцию (9%). Данный прогноз предполагает, что в текущем году Северсталь и НЛМК выплатят три промежуточных дивиденда за 2024 год, а ММК — только два (третий промежуточный дивиденд компания может выплатить в начале 2025-го). Отметим, что Северсталь, ММК и НЛМК накопили крупную финансовую подушку за период отсутствия дивидендных выплат, благодаря чему у компаний сейчас отрицательный чистый долг (запас денежных средств на счетах превышает объем займов)."
7,1,False,"По данным Fundstrat, 85% компаний из списка S&P 500 уже представили свои квартальные отчеты: 81% превышают оценки по прибыли в среднем на 7%, а 64% превышают оценки по выручке в среднем на 3%. Рынки Азиатско-Тихоокеанского региона демонстрируют смешанную динамику Широкий индекс акций Азии (за исключением Японии) MSCI AC Asia ex Japan Index снизился сегодня на 0,8%, японский Nikkei вырос на 0,4%, сингапурский STI увеличился на 0,1%, южнокорейский Kospi снизился на 0,1%, гонконгский Hang Seng упал на 1,4%, а китайский Shanghai Composite практически не изменился. Инвесторы в Азии сохраняют сдержанный настрой на фоне более слабых, чем ожидалось, торговых данных из Китая, а также в преддверии ключевых показателей инфляции, которые будут опубликованы позже на этой неделе."
7,3,False,"Плохой импорт и экспорт в июле являются последним признаком того, что экономический рост Китая в текущем квартале может еще больше замедлиться, поскольку темпы строительства, производства и деятельности в сфере услуг, а также объемы прямых иностранных инвестиций и промышленной прибыли продолжают снижаться, замечает Reuters. Moody's понизило рейтинги 10 американских банков Среди тех, чьи кредитные рейтинги были понижены Moody’s: M&T Bank, Webster Financial Corporation, BOK Financial, Old National Bank, Pinnacle Financial Partners Inc. и Fulton Financial Corporation. Причинами понижения рейтинга для большого количества американских банков эксперты из Moody's назвали более высокую стоимость финансирования, потенциальное снижение достаточности капитала в секторе и растущие риски, связанные с кредитами на коммерческую недвижимость, на фоне ослабления спроса на офисные помещения в США."
8,1,True,"Рынки Азиатско-Тихоокеанского региона в значительной степени выросли в пятницу благодаря сильным корпоративным отчетам американских IT-гигантов. Настроение инвесторов в Азии поддержало решение банка Японии оставить без изменений свою денежно-кредитную политику. ️Экономический рост США резко замедлился в первом квартале 2023 года По данным Министерства торговли США, валовой внутренний продукт страны в январе-марте 2023 года вырос на 1,1% в годовом исчислении по сравнению с ростом на 2,6% в предыдущем квартале. Опрошенные Dow Jones экономисты ожидали квартального роста ВВП США на уровне 2%. В отчете Министерства торговли США говорится, что замедление роста ВВП произошло из-за сокращения предприятиями своих расходов, а также снижения объема инвестиций в товарно-материальные запасы."
8,3,True,"️ Нефтяные цены приближаются к падению шестой месяц подряд Фьючерсы на Brent c начала месяца подешевели на 1,3%, до $78,72 за баррель, а контракты на WTI упали примерно на 0,7%, до $75,14. Стоимость нефти снижается на ежемесячной основе с ноября 2022 года, что является самой продолжительным периодом падения за более чем восемь лет, замечает Bloomberg. Причина снижения стоимости нефти в последние время — опасения по поводу замедления экономического роста в США и странах Азии, которое может повлиять на перспективы глобального спроса на энергоресурсы в этом году. #новости"""
9,0,True,"""Газпром не будет платить дивиденды за 2023 год  Правительство поручило подготовить директиву об отказе выплачивать дивиденды Газпрома за 2023 год. Распоряжение опубликовали на портале правовой информации. После решения бумаги компании подешевели на 5% на вечерних торгах. #новости"""
10,0,False,"""​​Сургутнефтегаз: что будет с дивидендами по префам? Сегодня компания впервые более чем за год выпустила финансовую отчетность — по РСБУ за 2022 год. На наш взгляд, отчет сильный, из-за чего вероятность выплаты крупных дивидендов за 2023 год возросла. Что показал отчет  За счет благоприятной конъюнктуры на нефтяных рынках в 2022-м Сургутнефтегаз показал мощный рост финансовых показателей:  выручка +24% г/г (до 2,33 трлн руб.);  операционная прибыль +33% г/г (до 524 млрд руб.). Тем временем чистая прибыль снизилась более чем в 8 раз (до 60,7 млрд руб.). Но это во многом связано с валютной переоценкой денежных запасов — они сократились из-за укрепления рубля. В этом же году ситуация может быть обратной. Почему  Ранее мы уже отмечали, что у Сургутнефтегаза есть крупный депозит в долларах, который компания собирала в течение долгих лет с доходов от продажи нефти."
10,3,False,"И именно поэтому крупные дивиденды по префам будут возможны, только если рубль за год ослабнет. Мы подсчитали, какими могут быть дивиденды по префам в зависимости от валютного курса. Если валютный курс на конец 2023-го будет таким же, как и в начале года (около 70 руб./доллар), то префы смогут принести только 3% див. доходности. Если валютный курс будет на уровне среднего нашего прогноза на 2023 год (около 76 руб./доллар), то див. доходность префов может превысить 10%. Если валютный курс сохранится на текущих уровнях (около 83 руб./доллар), то див. доходность составит уже 21%. Если же доллар укрепится до 90 руб./доллар (наименее вероятный сценарий), то префы могут принести доходность аж 30%. Получается, что префы Сургутнефтегаза могут защитить от ослабления рубля и в целом помочь диверсифицировать портфель. Мы сохраняем торговую идею на покупку этих бумаг с таргетом 40 руб./преф."
10,4,False,"Получается, что префы Сургутнефтегаза могут защитить от ослабления рубля и в целом помочь диверсифицировать портфель. Мы сохраняем торговую идею на покупку этих бумаг с таргетом 40 руб./преф. С учетом текущих уровней котировок и валютного курса инвесторы могут получить доходность 34,7% (14% за счет роста акций + 20,7% за счет возможных дивидендов за 2023 год). Алдар Цыбиков, аналитик Тинькофф Инвестиций  Другие торговые идеи на российском рынке можете найти в нашей стратегии-2023. #россия #идея"""
11,0,False,"""​​Tesla стала популярнее Apple  Tesla превзошла Apple как самую популярную акцию среди розничных инвесторов в 2022 году, сообщил Business Insider со ссылкой на исследование фирмы Vanda. Совокупные чистые розничные покупки акций Tesla выросли на 424%, с $2,94 млрд в 2021-м до $15,4 млрд в текущем году. Это больше $15,2 млрд совокупных чистых покупок акций Apple с относительно более скромными темпами прироста в 18%. Инвесторы увеличили покупки акций Tesla после того, как они упали на фоне исторической «распродажи» американских акций в этом году, объясняют эксперты Vanda. С начала года акции Tesla упали на 60,9%. Сейчас акции компании стоят всего $137,5 за бумагу. Это худшая годовая динамика бумаг с момента выхода на биржу в 2010 году. Для сравнения, индекс S&P 500 за это же время упал на 18,8%, NASDAQ — на 32%. #новости"""
12,3,False,"В S&P Global также отметили, что на сектор средств массовой информации и развлечений приходится треть дефолтов в США и 25% от общего числа банкротств в августе. • J.P. Morgan: индекс S&P 500 переоценен По мнению аналитиков из крупнейшего американского банка, после большого ралли фондового рынка США в этом году дальнейший рост рынка акций может оказаться под давлением из-за высоких процентных ставок. В J.P. Morgan также отметили, что индекс S&P 500 переоценен, если исключить фискальное стимулирование во время и после пандемии COVID-19, а также «пузырь» в высокотехнологичном секторе США. Еще одним встречным ветром для дальнейшего роста индекса S&P 500 эксперты называют растущий глобальный долг. #новости"""
13,0,False,""" Дивиденды Лукойла (LKOH) продолжают расти и по итогам 2023 года могут обновить исторический максимум. #шок_новости  Лукойл может заплатить дивиденд 677 рублей на акцию, 9% дивдоходности за 2 полугодие 2023 года:  """
15,1,False,"При такой EBITDA справедливая цена акций Камаза сейчас составляет 230 рублей, считает источник РДВ. """
16,1,False,"Чистая прибыль за тот же период снизилась на 54,1% и составила 19,3 млрд рублей против 42,1 млрд годом ранее. • HeadHunter Group: ожидается публикация финансовых результатов по МСФО за 2023 год. По итогам 2022 года выручка компании по МСФО выросла на 13%, до 18,1 млрд рублей, по сравнению с 16,0 млрд рублей годом ранее. Чистая прибыль за тот же период сократилась на 32,8% и составила 3,7 млрд рублей против 5,5 млрд в 2021 году. Фьючерсы (9:30) Сегодня утром фьючерсы на индекс Мосбиржи (+0,04%) и индекс РТС (+0,03%) торгуются практически без изменений. Валютный рынок (9:30) USD/RUB: 90,67 (+0,17%). EUR/RUB: 98,51 (-0,14%). CNY/RUB: 12,55 (-0,09%). Товарно-сырьевой рынок (9:30) Urals: 70,26 (+0,37%). Brent: 82,02 (+0,34%). Золото: 2 125,91 (-0,11%). Газ: 1,964 (-0,56%). Что еще • Совет директоров Московской биржи рекомендовал выплату дивидендов по итогам 2023 года."
