doc_id,chunk_id,is_macro,chunk_text
0,0,True,"""Индекс Мосбиржи -3%. Это самое большое дневное падение индекса с 7 октября. #шок_новости На фото - перфоманс акций индекса широкого рынка Мосбиржи за сегодня. """
1,0,True,"""​​Циан взлетел на апелляции Крупнейший в России сервис для продажи и аренды недвижимости сегодня в топе подорожавших эмитентов на Мосбирже. К 13.14 мск бумаги торговались 500,6 руб. (+9,54% с начала торгов). Ранее стало известно, что компания подала апелляцию на решение Нью-Йоркской фондовой биржи (NYSE) о делистинге американских депозитарных расписок компании. Процедура делистинга будет приостановлена, пока не рассмотрят апелляцию. «Компания была и остается полностью соответствующей всем применимыми обязательствам по отчетности и качественным и количественным критериям листинга NYSE», — говорится в сообщении компании. Кроме NYSE еще и биржа Nasdaq также уведомила о делистинге с 24 марта акций ряда компаний, основной бизнес находится в России. Уведомления получили Headhunter, Ozon, Qiwi, Яндекс. Эти компании также подали апелляции. #новости"""
2,0,True,"""С 5 февраля ЕС вводит эмбарго на российские поставки нефтепродуктов морем. Более того, европейские регуляторы обсуждают параметры потолка цен на нефтепродукты. Например, стоимость дизельного топлива хотят ограничить на уровне $100/барр. Россия — крупный экспортер дизельного топлива (15% мирового предложения), особенно для еврозоны, куда она направляла 80% поставок. Эти санкции могут быть более разрушительными, чем декабрьские ограничения на сырую нефть. Дело в том, что поставки сырой нефти удалось перенаправить в Индию и Китай. Но дизельное топливо туда не отправишь, потому что Индия и Китай сами являются крупными экспортерами этого сырья. Теперь придется искать новых покупателей, но кто ими может стать, непонятно. Госбюджет РФ рискует недополучить еще больше нефтегазовых доходов (в январе недополучит ок. 54,5 млрд руб.), из-за чего дефицит госбюджета может еще сильнее расшириться."
2,1,True,"Госбюджет РФ рискует недополучить еще больше нефтегазовых доходов (в январе недополучит ок. 54,5 млрд руб.), из-за чего дефицит госбюджета может еще сильнее расшириться. #макро #россия #сырье"""
3,0,True,"""Новый отчёт Сбера (SBER): чистая прибыль за 10 месяцев 2023 составила 1.26 трлн руб. Каким будет дивиденд? #аналитика Главное из отчета за 10 месяцев по РПБУ: • портфель жилищных кредитов вырос на 3.5% м/м, объём превысил 9.7 трлн руб. • корпоративный кредитный портфель +0.9% м/м, розничный +2.7% м/м • доля просроченной задолженности на уровне 2% • операционные расходы выросли на 27% г/г с низкой базы 2022 • рентабельность капитала (ROE) за 10 мес. на уровне 25.3% По прогнозам источников РДВ, чистая прибыль Сбера по итогам года превысит 1.5 трлн руб., а расчётный дивиденд превысит 33 рубля на акцию, доходность 11.78% к текущей цене. """
4,0,True,"""​​Газпром: почему дивидендов не будет? Газпром опубликовал крайне слабый отчет по МСФО за 2022 год. Подкачало второе полугодие на фоне теплой зимы в Европе и снижения спроса на ключевом экспортном рынке (европейском). Компания зафиксировала убыток в размере 1,2 трлн рублей (в первом полугодии была прибыль в размере 2,5 трлн рублей). В связи с убытками во второй половине 2022-го совет директоров компании принял решение не рекомендовать выплату финальных дивидендов за прошлый год. Напомним, что консенсус-прогноз предполагал дивиденды Газпрома за второе полугодие 2022-го в среднем на уровне 7,62 руб./акцию. Мы ждали чуть больше при позитивном развитии событий — 10 руб./акцию. Отметим, что свежий отчет Газпрома — единственный подробный отчет за 2022 год. Поэтому отследить динамику показателей в течение прошлого года довольно сложно."
4,1,True,"Отметим, что свежий отчет Газпрома — единственный подробный отчет за 2022 год. Поэтому отследить динамику показателей в течение прошлого года довольно сложно. За весь год динамика продаж в разных сегментах бизнеса весьма позитивная, но предполагаем, что это связано в большей степени с успехами именно первой половины 2022-го. За 2022 год внешние продажи газа +12,8% г/г (до 7,73 трлн руб.); внешние продажи нефти +19,4% г/г (до 3,39 трлн руб.); внешние продажи электроэнергии +1,3% г/г (до 556,7 млрд руб.); суммарные межсегментные продажи +23,4% г/г (до 675,8 млрд руб.). Добавим, что уровень долговой нагрузки у компании увеличился. С конца первого полугодия 2022-го до конца 2022 года чистый долг/EBITDA вырос с 0,23х до 1,1х.      Что с нашей арбитражной идеей К сожалению, реализовался негативный сценарий — финальных дивидендов от Газпрома за 2022 год не будет."
4,2,False,"Катализатора для реализации нашей идеи нет, поэтому мы закрываем идею на покупку акций Газпрома и продажу сентябрьского фьючерса (GAZR-9.23). С момента открытия идеи (27 апреля) ее доходность составила -3,2%. Это немного лучше динамики акций Газпрома: за аналогичный период они снизились на 7%. Этого удалось достичь за счет хеджа в виде короткой позиции в сентябрьском фьючерсе. В долгосрочной перспективе мы сохраняем нейтральный взгляд на акции Газпрома. Мы не можем рекомендовать их к покупке из-за слабой отчетности, низкого спроса на газ в Европе и Азии, рисков дальнейшего увеличения капитальных расходов. Алдар Цыбиков, аналитик Тинькофф Инвестиций #россия"""
5,0,True,"""Окно закрывается. С начала СВО физлица вывели на свои зарубежные счета $43 млрд. #цифры Только за май по официальной статистике ЦБ россияне вывели из страны $1.8 млрд. Qiwi (QIWI) ограничил снятие наличных и вывод средств с qiwi-кошельков в другие банки по предписанию ЦБ:  """
6,0,True,"""​​Дивидендам от сталеваров быть? Сегодня, 11 января, генеральный директор Северстали Александр Шевелев сообщил, что совет директоров компании на ближайшем заседании может рассмотреть вопрос выплаты дивидендов за 2023 год. Это спровоцировало рост котировок российских сталелитейных компаний. Напомним, что Северсталь, ММК и НЛМК не платили дивиденды с конца 2021-го—начала 2022-го. Потенциальный возврат компаний к дивидендным выплатам повышает их инвестиционную привлекательность, в связи с чем и наблюдается рост котировок. Все три упомянутые компании платят дивиденды, исходя из величины свободного денежного потока (FCF). Если на дивиденды за 2023 год они направят 100% FCF, то, по нашим оценкам:   дивиденд по акциям Северстали может составить 122 руб./акцию (доходность 8%);  дивиденды ММК — 3 руб./акцию (5%);  дивиденд НЛМК — 21 руб./акцию (11%)."
6,1,False,"Пониженная прогнозная дивидендная доходность по бумагам ММК во многом связана с прошлогодней покупкой угольной шахты им. Тихова, которая могла обойтись компании в 22 млрд рублей. Если же сталевары вернутся к практике промежуточных дивидендов (как это было ранее), то в 2024 году дополнительно могут быть выплачены:  дивиденды Северстали в размере 99 руб./акцию (доходность 6%);  дивиденды ММК — 3,4 руб./акцию (6%);  дивиденды НЛМК — 17 руб./акцию (9%). Данный прогноз предполагает, что в текущем году Северсталь и НЛМК выплатят три промежуточных дивиденда за 2024 год, а ММК — только два (третий промежуточный дивиденд компания может выплатить в начале 2025-го). Отметим, что Северсталь, ММК и НЛМК накопили крупную финансовую подушку за период отсутствия дивидендных выплат, благодаря чему у компаний сейчас отрицательный чистый долг (запас денежных средств на счетах превышает объем займов)."
6,2,True,"В теории это позволяет компаниям направить на выплату дивидендов более 100% FCF. В конце 2023 года УК Тинькофф Капитал запустила биржевой фонд БПИФ «Тинькофф Дивидендные акции». При его формировании, в частности, была сделана ставка на возобновление дивидендов сталеварами в 2024 году. Сейчас суммарная доля акций Северстали, ММК и НЛМК в данном фонде составляет 17,5%. #россия"""
7,0,False,"""Экспорт и импорт Китая продолжает снижаться, а Moody’s понижает кредитные рейтинги банков из США Главные новости зарубежных рынков к этому утру Фондовые индексы США выросли в понедельник S&P 500 прибавил 0,9%, высокотехнологичный Nasdaq — 0,6%, а индекс Dow Jones — 1,2%. Все благодаря публикации более сильных, чем ожидалось, финансовых результатов американских компаний за второй квартал 2023 года. По данным Fundstrat, 85% компаний из списка S&P 500 уже представили свои квартальные отчеты: 81% превышают оценки по прибыли в среднем на 7%, а 64% превышают оценки по выручке в среднем на 3%."
7,1,False,"По данным Fundstrat, 85% компаний из списка S&P 500 уже представили свои квартальные отчеты: 81% превышают оценки по прибыли в среднем на 7%, а 64% превышают оценки по выручке в среднем на 3%. Рынки Азиатско-Тихоокеанского региона демонстрируют смешанную динамику Широкий индекс акций Азии (за исключением Японии) MSCI AC Asia ex Japan Index снизился сегодня на 0,8%, японский Nikkei вырос на 0,4%, сингапурский STI увеличился на 0,1%, южнокорейский Kospi снизился на 0,1%, гонконгский Hang Seng упал на 1,4%, а китайский Shanghai Composite практически не изменился. Инвесторы в Азии сохраняют сдержанный настрой на фоне более слабых, чем ожидалось, торговых данных из Китая, а также в преддверии ключевых показателей инфляции, которые будут опубликованы позже на этой неделе."
7,2,False,"Китай сообщает о двузначном падении экспорта и импорта в июле По данным Reuters, в прошлом месяце китайский импорт сократился на 12,4% в годовом исчислении, против прогнозируемого экспертами снижения на 5%. В свою очередь, экспорт из Китая в июле сократился на 14,5%, что больше ожидаемого снижения на 12,5% и падения на 12,4% в предыдущем месяце. Между тем, экономика Китая росла вялыми темпами во втором квартале 2023 года из-за ослабления спроса внутри страны и за рубежом, что побудило высших руководителей обещать дальнейшую политическую поддержку, а аналитиков понижать свои прогнозы относительно роста китайской экономики в этом году."
7,3,False,"Плохой импорт и экспорт в июле являются последним признаком того, что экономический рост Китая в текущем квартале может еще больше замедлиться, поскольку темпы строительства, производства и деятельности в сфере услуг, а также объемы прямых иностранных инвестиций и промышленной прибыли продолжают снижаться, замечает Reuters. Moody's понизило рейтинги 10 американских банков Среди тех, чьи кредитные рейтинги были понижены Moody’s: M&T Bank, Webster Financial Corporation, BOK Financial, Old National Bank, Pinnacle Financial Partners Inc. и Fulton Financial Corporation. Причинами понижения рейтинга для большого количества американских банков эксперты из Moody's назвали более высокую стоимость финансирования, потенциальное снижение достаточности капитала в секторе и растущие риски, связанные с кредитами на коммерческую недвижимость, на фоне ослабления спроса на офисные помещения в США."
7,4,False,"В Moody’s также предупредили, что в ближайшей перспективе могут быть понижены рейтинги и для крупных американских кредиторов, включая US Bancorp, Bank of New York Mellon, State Street и Truist Financial Corporation на фоне общего давления на отрасль. Инвесторы, потрясенные крахом банков в США и Европе в этом году, внимательно следят за признаками стресса в отрасли, поскольку рост процентных ставок вынуждает банки платить больше за депозиты и увеличивает стоимость финансирования. В то же время более высокие ставки снижают стоимость активов кредитных организаций и затрудняют рефинансирование долгов заемщиками, что потенциально ведет к ослаблению баланса банков, замечает Bloomberg. #новости"""
8,0,False,""" Техи отчитались — рынки растут  Главные новости зарубежных рынков к этому утру ️Фондовые индексы США выросли в четверг S&P 500 прибавил примерно 2%, высокотехнологичный Nasdaq — 2,4%, а индекс Dow Jones — 1,6%. Сильные квартальные отчеты американских технологических гигантов поддержали рост основных фондовых индексов США. Между тем акции региональных банков несколько стабилизировались после недавнего падения на фоне проблем First Republic Bank с удержанием депозитов. ️Рынки Азии преимущественно растут Широкий индекс акций Азии (за исключением Японии) MSCI AC Asia ex Japan Index вырос сегодня на 0,5%, японский Nikkei прибавил 0,9%, южнокорейский Kospi увеличился на 0,1%, китайский Shanghai Composite и гонконгский Hang Seng подорожали на 0,7% и 0,9% соответственно, а сингапурский STI снизился на 0,2%."
8,1,True,"Рынки Азиатско-Тихоокеанского региона в значительной степени выросли в пятницу благодаря сильным корпоративным отчетам американских IT-гигантов. Настроение инвесторов в Азии поддержало решение банка Японии оставить без изменений свою денежно-кредитную политику. ️Экономический рост США резко замедлился в первом квартале 2023 года По данным Министерства торговли США, валовой внутренний продукт страны в январе-марте 2023 года вырос на 1,1% в годовом исчислении по сравнению с ростом на 2,6% в предыдущем квартале. Опрошенные Dow Jones экономисты ожидали квартального роста ВВП США на уровне 2%. В отчете Министерства торговли США говорится, что замедление роста ВВП произошло из-за сокращения предприятиями своих расходов, а также снижения объема инвестиций в товарно-материальные запасы."
8,2,False,"В отчете Министерства торговли США говорится, что замедление роста ВВП произошло из-за сокращения предприятиями своих расходов, а также снижения объема инвестиций в товарно-материальные запасы. Это связано с ожиданиями падения потребительского спроса в конце этого года на фоне более высокой стоимости заимствований, поскольку процентные ставки в стране продолжают расти. Также замедление экономического роста в США в первом квартале 2023 года было обусловлено замедлением темпов строительства новых домов. В отчете Министерства торговли США также отмечается, что американская экономика потеряла импульс для роста в последние месяцы, и многие экономисты прогнозируют рецессию в стране в конце этого года. ️ Нефтяные цены приближаются к падению шестой месяц подряд Фьючерсы на Brent c начала месяца подешевели на 1,3%, до $78,72 за баррель, а контракты на WTI упали примерно на 0,7%, до $75,14."
8,3,True,"️ Нефтяные цены приближаются к падению шестой месяц подряд Фьючерсы на Brent c начала месяца подешевели на 1,3%, до $78,72 за баррель, а контракты на WTI упали примерно на 0,7%, до $75,14. Стоимость нефти снижается на ежемесячной основе с ноября 2022 года, что является самой продолжительным периодом падения за более чем восемь лет, замечает Bloomberg. Причина снижения стоимости нефти в последние время — опасения по поводу замедления экономического роста в США и странах Азии, которое может повлиять на перспективы глобального спроса на энергоресурсы в этом году. #новости"""
9,0,True,"""Газпром не будет платить дивиденды за 2023 год  Правительство поручило подготовить директиву об отказе выплачивать дивиденды Газпрома за 2023 год. Распоряжение опубликовали на портале правовой информации. После решения бумаги компании подешевели на 5% на вечерних торгах. #новости"""
10,0,False,"""​​Сургутнефтегаз: что будет с дивидендами по префам? Сегодня компания впервые более чем за год выпустила финансовую отчетность — по РСБУ за 2022 год. На наш взгляд, отчет сильный, из-за чего вероятность выплаты крупных дивидендов за 2023 год возросла. Что показал отчет  За счет благоприятной конъюнктуры на нефтяных рынках в 2022-м Сургутнефтегаз показал мощный рост финансовых показателей:  выручка +24% г/г (до 2,33 трлн руб.);  операционная прибыль +33% г/г (до 524 млрд руб.). Тем временем чистая прибыль снизилась более чем в 8 раз (до 60,7 млрд руб.). Но это во многом связано с валютной переоценкой денежных запасов — они сократились из-за укрепления рубля. В этом же году ситуация может быть обратной. Почему  Ранее мы уже отмечали, что у Сургутнефтегаза есть крупный депозит в долларах, который компания собирала в течение долгих лет с доходов от продажи нефти."
10,1,True,"Почему  Ранее мы уже отмечали, что у Сургутнефтегаза есть крупный депозит в долларах, который компания собирала в течение долгих лет с доходов от продажи нефти. Так вот, с конца 2021-го до конца 2022-го этот депозит только вырос (с $51 млрд до $59,5 млрд). Для финансовой отчетности компания каждый отчетный период пересчитывает свой долларовый запас в рубли. Результат валютной переоценки естественно зависит от динамики валютного курса. В этом году рубль пока слабеет (с 70 до 83 руб./доллар), что говорит в пользу прибыли компании от валютной переоценки. От валютной переоценки зависят еще и выплаты дивидендов в рублях, особенно по привилегированным акциям. Если в результате валютной переоценки у компании есть прибыль, то она выплачивает более высокие дивиденды по префам."
10,2,True,"Если в результате валютной переоценки у компании есть прибыль, то она выплачивает более высокие дивиденды по префам. А если убыток, как это было по итогам 2022-го, то компания выплачивает минимальные дивиденды по префам (такие же, как по обыкновенным акциям или чуть больше). Какую дивидендную доходность могут принести префы за 2023 год Конечно, дивиденды зависят не только от валютной переоценки, но еще и от операционной эффективности компании в этом году. 2023-й обещает быть непростым для российских нефтяных компаний из-за санкций, которые уже вступили в силу (частичное эмбарго и потолок цен), а также из-за стагнации экономики России и мира в целом. И именно поэтому крупные дивиденды по префам будут возможны, только если рубль за год ослабнет. Мы подсчитали, какими могут быть дивиденды по префам в зависимости от валютного курса."
10,3,False,"И именно поэтому крупные дивиденды по префам будут возможны, только если рубль за год ослабнет. Мы подсчитали, какими могут быть дивиденды по префам в зависимости от валютного курса. Если валютный курс на конец 2023-го будет таким же, как и в начале года (около 70 руб./доллар), то префы смогут принести только 3% див. доходности. Если валютный курс будет на уровне среднего нашего прогноза на 2023 год (около 76 руб./доллар), то див. доходность префов может превысить 10%. Если валютный курс сохранится на текущих уровнях (около 83 руб./доллар), то див. доходность составит уже 21%. Если же доллар укрепится до 90 руб./доллар (наименее вероятный сценарий), то префы могут принести доходность аж 30%. Получается, что префы Сургутнефтегаза могут защитить от ослабления рубля и в целом помочь диверсифицировать портфель. Мы сохраняем торговую идею на покупку этих бумаг с таргетом 40 руб./преф."
10,4,False,"Получается, что префы Сургутнефтегаза могут защитить от ослабления рубля и в целом помочь диверсифицировать портфель. Мы сохраняем торговую идею на покупку этих бумаг с таргетом 40 руб./преф. С учетом текущих уровней котировок и валютного курса инвесторы могут получить доходность 34,7% (14% за счет роста акций + 20,7% за счет возможных дивидендов за 2023 год). Алдар Цыбиков, аналитик Тинькофф Инвестиций  Другие торговые идеи на российском рынке можете найти в нашей стратегии-2023. #россия #идея"""
11,0,False,"""​​Tesla стала популярнее Apple  Tesla превзошла Apple как самую популярную акцию среди розничных инвесторов в 2022 году, сообщил Business Insider со ссылкой на исследование фирмы Vanda. Совокупные чистые розничные покупки акций Tesla выросли на 424%, с $2,94 млрд в 2021-м до $15,4 млрд в текущем году. Это больше $15,2 млрд совокупных чистых покупок акций Apple с относительно более скромными темпами прироста в 18%. Инвесторы увеличили покупки акций Tesla после того, как они упали на фоне исторической «распродажи» американских акций в этом году, объясняют эксперты Vanda. С начала года акции Tesla упали на 60,9%. Сейчас акции компании стоят всего $137,5 за бумагу. Это худшая годовая динамика бумаг с момента выхода на биржу в 2010 году. Для сравнения, индекс S&P 500 за это же время упал на 18,8%, NASDAQ — на 32%. #новости"""
